Blog,Recipe,Link,Time,Ingredients
Pinch of Yum,Creamy Red Pepper Pasta with Blistered Tomatoes,https://pinchofyum.com/creamy-red-pepper-pasta-blistered-tomatoes,35 minutes,"['rigatoni', 'cherry tomatoes', 'olive oil', 'salt', 'pepper', 'cashews', 'olive oil', 'water', 'roasted red pepper', 'garlic', 'nutritional yeast', 'salt', 'chives', 'basil']"
Pinch of Yum,Creamy Squash Fettuccine with Caramelized Onion and Pancetta,https://pinchofyum.com/creamy-squash-fettuccine-with-caramelized-onion-and-pancetta,45 minutes,"['squash sauce', 'butternut squash', 'olive oil', 'salt', 'fresh thyme', 'vegetable or chicken broth', 'garlic', 'salt', 'heavy cream', 'other yums:', 'pancetta', 'onion', 'sage leaves', 'pasta:', 'fettuccine or pappardelle', 'parmesan']"
Pinch of Yum,Chipotle Quinoa Burgers,https://pinchofyum.com/chipotle-quinoa-burgers,25 minutes,"['uncooked quinoa', 'black beans', 'chipotle peppers', 'garlic powder, onion powder, chili powder, cumin', 'egg', 'salt', 'panko breadcrumbs']"
Pinch of Yum,Basic + Awesome Broccoli Cheese Soup,https://pinchofyum.com/broccoli-cheese-soup,45 minutes,"['butter', 'onion', 'garlic', 'broccoli stems', 'all-purpose flour', 'whole milk', 'half and half', 'chicken or vegetable broth', 'broccoli florets', 'carrot', 'salt', 'freshly ground black pepper', 'paprika', 'extra-sharp cheddar cheese']"
Pinch of Yum,Lemon Poppyseed Zucchini Bread,https://pinchofyum.com/lemon-olive-oil-cake,1 hour 30 minutes,"['zucchini', 'lemons', 'vanilla extract', 'eggs', 'extra-virgin olive oil', 'brown sugar', 'all-purpose flour', 'salt', 'baking powder', 'baking soda', 'poppy seeds', 'nutmeg', 'fresh ginger']"
Pinch of Yum,Grilled Chimichurri Portobellos with Goat Cheese Mashed Potatoes,https://pinchofyum.com/grilled-chimichurri-portobellos-with-goat-cheese-mashed-potatoes,45 minutes,"['cilantro chimichurri and mushrooms', 'olive oil', 'red wine vinegar', 'cilantro', 'parsley', 'red serrano pepper,', 'garlic,', 'oregano', 'kosher salt', 'red pepper flakes', 'portobello mushroom caps', 'mashed potatoes:', 'russet potatoes', 'butter', 'goat cheese', 'chicken or vegetable broth', 'garlic', 'salt']"
Pinch of Yum,Best Peach Cobbler,https://pinchofyum.com/peach-cobbler,1 hour,"['peach filling', 'fresh yellow peaches', 'sugar', 'cobbler topping', 'salted butter', 'sugar', 'vanilla', 'flour', 'baking powder', 'salt', 'turbinado sugar', 'whipped cream', 'vanilla ice cream']"
Pinch of Yum,Coconut Lime Grilled Chicken and Rice,https://pinchofyum.com/coconut-lime-grilled-chicken-and-rice,40 minutes,"['coconut lime sauce', 'limes', 'fish sauce', 'full fat coconut milk', 'brown sugar', 'lemongrass paste', 'jalapeño pepper', 'garlic', 'fresh cilantro', 'fresh mint', 'everything else', 'boneless skinless chicken thighs', 'rice', 'vegetables']"
Pinch of Yum,Socca with Whipped Feta and Tomato Salad,https://pinchofyum.com/socca-with-whipped-feta,30 minutes,"['for the socca:', 'chickpea flour', 'olive oil', 'salt', 'water', 'for the tomato salad:', 'cherry', 'grape tomatoes', 'cucumber slices', 'olive oil', 'white vinegar', 'lemon juice', 'garlic', 'salt', 'freshly ground black pepper', 'fresh chopped herbs', 'for the whipped feta:', 'feta', 'cream cheese', 'thyme, basil, rosemary,', 'any other herbs']"
Pinch of Yum,Deep Dish S’mores Bowls For Two,https://pinchofyum.com/deep-dish-smores-bowls-for-two,25 minutes,"['butter, melted', 'brown sugar', 'white sugar', 'egg yolk', 'vanilla', 'baking powder', 'flour', 'salt', 'graham cracker sheets', 'hershey chocolate squares', 'mini marshmallows']"
Pinch of Yum,Spicy Tofu Burgers,https://pinchofyum.com/spicy-tofu-burgers,55 minutes,"['burgers', 'extra firm tofu', 'tomato paste', 'sriracha', 'fresh mint', 'fresh basil', 'fresh cilantro', 'shallot', 'lemongrass paste', 'all purpose flour', 'salt', 'burger toppings', 'buns', 'sriracha', 'mayo', 'carrots', 'cucumbers', 'bell peppers', 'more herbs']"
Pinch of Yum,Lemon Herb Pasta Salad with Marinated Chickpeas,https://pinchofyum.com/lemon-herb-pasta-salad,45 minutes,"['marinated chickpeas', 'chickpeas', 'olive oil', 'garlic', 'lemon juice', 'salt', 'pasta', 'farfalle pasta', 'olive oil', 'lemon', 'parsley', 'basil', 'salt', 'pepper', 'parmesan cheese']"
Pinch of Yum,Cucumber Agua Fresca,https://pinchofyum.com/cucumber-agua-fresca,5 minutes,"['small cucumbers', 'fresh basil leaves', 'whole', 'limes', 'lemongrass paste', 'fresh lemongrass', 'sugar', 'honey', 'water', 'water', 'ice']"
Pinch of Yum,The Everything Marinade,https://pinchofyum.com/the-everything-marinade,5 minutes,"['olive oil', 'maple syrup', 'soy sauce', 'balsamic vinegar', 'smoked paprika', 'cumin', 'italian seasoning', 'onion powder', 'garlic powder', 'salt', 'black pepper']"
Pinch of Yum,Green Tahini,https://pinchofyum.com/green-tahini,5 minutes,"['olive oil', 'water', 'tahini', 'cilantro and parsley', 'garlic', 'half a lemon', 'salt']"
Pinch of Yum,5 Minute Romesco Sauce,https://pinchofyum.com/romesco-sauce,7 minutes,"['roasted red peppers', 'plum tomatoes', 'raw almonds', 'flat leaf parsley', 'olive oil', 'salt', 'garlic', 'lemon']"
Pinch of Yum,Chipotle Cashew Queso,https://pinchofyum.com/chipotle-cashew-queso,10 minutes,"['cashews', 'water', 'green chiles', 'chipotle pepper', 'kosher', 'salt']"
